user_score;publisher;title;genre;score;release
;Dreamcatcher;Agatha Christie: Double Murder Mystery Pack;Adventure,General;;Sep 18, 2007
7.2;;Agatha Christie: Evil Under the Sun;;66;Oct 16, 2007
7.8;DreamCatcher Interactive;Agatha Christie: Murder on the Orient Express;Adventure,Modern,Third-Person,Modern;60;Nov 21, 2006
;;Agatha Christie: Peril at End House;;;Jul 10, 2009
;;Agatha Christie: Triple Murder Mystery Pack;;;Apr 7, 2009
;;Age of Armor;;;Jul 10, 2007
;;Age of Asteroids;;;May 31, 2014
;;Age of Barbarian;;;Jan 26, 2014
;;Age of Barbarian - ARENA;;;Feb 8, 2014
4.1;Capcom;Age of Booty;Strategy,Miscellaneous,Real-Time,Party,Fantasy;;Mar 9, 2009
;Anarchy Enterprises;Age of Castles;Strategy,Turn-Based,Fantasy;;Dec 10, 2003
;;Age of Castles: Warlords;;;May 15, 2015
5.4;;Age of Chivalry;;;Dec 1, 2007
7.3;Eidos Interactive, SCi;Age of Conan: Hyborian Adventures;Role-Playing,MassivelyMultiplayerOnline,Fantasy,Fantasy;80;May 20, 2008
8.4;Eidos Interactive, Funcom;Age of Conan: Rise of the Godslayer;Role-Playing,MassivelyMultiplayerOnline,Fantasy,Fantasy;83;May 11, 2010
7.5;;Age of Conan: Unchained;;;Feb 22, 2013
;;Age of Conquest III;;;Nov 16, 2010
;;Age of Discovery;;;Mar 28, 2012
8.7;Microsoft Game Studios;Age of Empires;Strategy,Real-Time,Historic,Historic,Command;83;Sep 30, 1997
9.0;Microsoft Game Studios;Age of Empires II: Gold Edition;Strategy,Miscellaneous,Real-Time,Historic,Compilation,Command;;Aug 24, 2001
7.5;Microsoft Game Studios;Age of Empires II: HD Edition;Strategy,Miscellaneous,Real-Time,Historic,Compilation,Command;68;Jul 11, 2013
9.0;Microsoft Game Studios;Age of Empires II: The Age of Kings;Strategy,Real-Time,Historic,Historic,Command;92;Sep 30, 1999
9.0;Microsoft Game Studios;Age of Empires II: The Conquerors Expansion;Strategy,Real-Time,Historic,Historic,Command;88;Aug 24, 2000
7.6;Microsoft Game Studios;Age of Empires III;Strategy,Real-Time,Historic,Historic;81;Oct 18, 2005
8.4;;Age of Empires III: Complete Collection;;;Sep 15, 2009
7.8;Microsoft Game Studios;Age of Empires III: Gold Edition;Strategy,Miscellaneous,Real-Time,Historic,Compilation;;Oct 23, 2007
8.4;Microsoft Game Studios;Age of Empires III: The Asian Dynasties;Strategy,Real-Time,Historic,Historic;81;Oct 23, 2007
8.0;Microsoft Game Studios;Age of Empires III: The WarChiefs;Strategy,Real-Time,Historic,Historic;80;Oct 17, 2006
5.6;;Age of Empires Online;;70;Aug 16, 2011
2.8;;Age of Empires: Castle Siege;;;Sep 17, 2014
8.0;;Age of Empires: Collector's Edition;;;Nov 2, 2000
8.6;Microsoft Game Studios;Age of Empires: The Rise of Rome;Strategy,Real-Time,Historic,Command;;Oct 31, 1998
;THQ;Age of Enigma: The Secret of the Sixth Ghost;Adventure,General,General;;Oct 4, 2011
6.6;;Age of Fear 2: The Chaos Lord;;;Mar 27, 2015
8.2;;Age of Fear: The Undead King;;;Nov 15, 2011
8.9;Microsoft Game Studios;Age of Mythology;Strategy,Real-Time,Fantasy,Fantasy;89;Nov 1, 2002
6.4;;Age of Mythology: Extended Edition;;66;May 8, 2014
8.7;Microsoft Game Studios;Age of Mythology: Gold Edition;Strategy,Miscellaneous,Real-Time,Fantasy,Compilation;;Sep 10, 2004
8.7;Microsoft Game Studios;Age of Mythology: The Titans;Strategy,Real-Time,Fantasy,Fantasy;84;Sep 30, 2003
8.0;Playlogic;Age of Pirates 2: City of Abandoned Ships;Role-Playing,ActionRPG,ActionRPG;61;May 26, 2009
